Tip Matrice,Tip alocare,Nr threads,Timp executie
,,1,0
,,1,0.24264
,,4,0.1561
,,4,2.50499
,,4,0.91318
,,4,1.79345
,,4,1.64788
,,4,1.12945
,,4,1.14078
,,1,356.6936
,,2,275.6194
,,4,297.7117
,,8,292.1262
,,16,303.0514
,,2,333.1747
,,4,294.801
,,8,284.7412
,,16,281.2576
,,2,370.3556
,,4,260.9067
,,8,0
,,8,0
,,2,278.007
,,8,0
,,8,311.1939
,,16,296.1192
,,2,460.5711
,,4,284.2149
,,8,294.2255
,,16,282.6328
,,2,295.2989
,,4,279.2141
,,8,326.9136
,,16,279.4984
,,1,15.83561
,,2,15.63912
,,4,15.68762
,,8,15.49279
,,16,15.51637
,,2,15.64876
,,4,15.57228
,,8,15.82701
,,16,15.72586
,,2,16.84646
,,4,15.75528
,,8,16.02653
,,16,16.65664
,,2,15.93411
,,1,15.90686
,,2,14.59835
,,16,0
,,2,15.501
,,16,0
,,16,0
,,2,0
,,2,0
,,16,0
,,16,0
,,2,0
,,2,14.04427
,,2,16.01032
,,4,14.40987
,,8,14.13077
,,16,14.24016
,,2,14.84747
,,4,14.76607
,,8,15.52454
,,16,14.37702
,,16,13772.68
,,8,13379.11
,,4,13761.26
,,2,14996.75
,,1,15657.18
,,1,15444.59
,,2,14103.72
,,4,13269.4
,,8,12953.6
,,16,13633.6333333333
,,16,12888.4
,,8,13283.65
,,4,13751.65
,,2,13886
